id,content_type,role,name_original,name_ru,provider,external_id,active,notes
movie-person-001,movie,actor,Joaquin Phoenix,Joaquin Phoenix,tmdb,73421,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-002,movie,actor,Colin Farrell,Colin Farrell,tmdb,72466,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-003,movie,actor,Leonardo DiCaprio,Leonardo DiCaprio,tmdb,6193,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-004,movie,actor,Javier Bardem,Javier Bardem,tmdb,3810,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-005,movie,actor,Anthony Hopkins,Anthony Hopkins,tmdb,4173,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-006,movie,actor,Brad Pitt,Brad Pitt,tmdb,287,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-007,movie,actor,Antonio Banderas,Antonio Banderas,tmdb,3131,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-008,movie,actor,Matthew McConaughey,Matthew McConaughey,tmdb,10297,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-009,movie,actor,Steve Buscemi,Steve Buscemi,tmdb,884,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-010,movie,actor,Tim Roth,Tim Roth,tmdb,3129,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-011,movie,actor,Mads Mikkelsen,Mads Mikkelsen,tmdb,1019,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-012,movie,actor,Scarlett Johansson,Scarlett Johansson,tmdb,1245,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-013,movie,actor,Til Schweiger,Til Schweiger,tmdb,1844,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-014,movie,actor,George Clooney,George Clooney,tmdb,1461,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-015,movie,actor,Tom Hanks,Tom Hanks,tmdb,31,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-016,movie,actor,Robert De Niro,Robert De Niro,tmdb,380,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-017,movie,actor,Adrien Brody,Adrien Brody,tmdb,3490,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-018,movie,actor,Matt Damon,Matt Damon,tmdb,1892,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-019,movie,actor,Edward Norton,Edward Norton,tmdb,819,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-020,movie,actor,Robert Pattinson,Robert Pattinson,tmdb,11288,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-021,movie,actor,Jude Law,Jude Law,tmdb,9642,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-022,movie,actor,Cillian Murphy,Cillian Murphy,tmdb,2037,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-023,movie,actor,Benicio Del Toro,Benicio Del Toro,tmdb,1121,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-024,movie,actor,Timothée Chalamet,Timothée Chalamet,tmdb,1190668,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-025,movie,actor,Christian Bale,Christian Bale,tmdb,3894,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-026,movie,actor,Adam Driver,Adam Driver,tmdb,1023139,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-027,movie,actor,Jake Gyllenhaal,Jake Gyllenhaal,tmdb,131,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-028,movie,actor,Willem Dafoe,Willem Dafoe,tmdb,5293,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-029,movie,actor,Paul Mescal,Paul Mescal,tmdb,2590209,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-030,movie,actor,Michael Fassbender,Michael Fassbender,tmdb,17288,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-031,movie,actor,Oscar Isaac,Oscar Isaac,tmdb,25072,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-032,movie,actor,Barry Keoghan,Barry Keoghan,tmdb,1290466,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-033,movie,actor,Jesse Plemons,Jesse Plemons,tmdb,40685,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-034,movie,actor,Tom Hardy,Tom Hardy,tmdb,2524,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-035,movie,actor,Nicolas Cage,Nicolas Cage,tmdb,2963,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-036,movie,director,Quentin Tarantino,Quentin Tarantino,tmdb,138,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-037,movie,director,David Fincher,David Fincher,tmdb,7467,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-038,movie,director,Jim Jarmusch,Jim Jarmusch,tmdb,4429,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-039,movie,director,Guy Ritchie,Guy Ritchie,tmdb,956,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-040,movie,director,Christopher Nolan,Christopher Nolan,tmdb,525,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-041,movie,director,Darren Aronofsky,Darren Aronofsky,tmdb,6431,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-042,movie,director,Martin McDonagh,Martin McDonagh,tmdb,54472,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-043,movie,director,Pedro Almodóvar,Pedro Almodóvar,tmdb,309,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-044,movie,director,Paolo Sorrentino,Paolo Sorrentino,tmdb,56194,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-045,movie,director,Cristian Mungiu,Cristian Mungiu,tmdb,20657,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-046,movie,director,Yorgos Lanthimos,Yorgos Lanthimos,tmdb,122423,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-047,movie,director,Bong Joon-ho,Bong Joon-ho,tmdb,21684,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-048,movie,director,Lars von Trier,Lars von Trier,tmdb,42,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-049,movie,director,Woody Allen,Woody Allen,tmdb,1243,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
movie-person-050,movie,director,Denis Villeneuve,Denis Villeneuve,tmdb,137427,true,Migrated from favorite.md/checker.ipynb/lib_list_2.md
