id,content_type,title_ru,title_original,status,reaction,year,creators,participants,genres,duration_minutes,external_rating,external_rating_source,external_id,source,url,location,metadata_json,notes,added_at,consumed_at
movie-001,movie,Дюна: Часть вторая,Dune: Part Two,consumed,like,2024,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-002,movie,Оппенгеймер,Oppenheimer,consumed,,2023,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-003,movie,Дюна,Dune,consumed,,2021,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-004,movie,Бедные-несчастные,Poor Things,consumed,,2023,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-005,movie,Ещё по одной,Another Round,consumed,like,2020,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-006,movie,Убийцы цветочной луны,Killers of the Flower Moon,consumed,,2023,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-007,movie,Боб Дилан: Никому не известный,A Complete Unknown,consumed,,2024,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-008,movie,Довод,Tenet,consumed,,2020,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-009,movie,Не смотрите наверх,Don't Look Up,consumed,,2021,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-010,movie,Битва за битвой,One Battle After Another,consumed,,2025,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-011,movie,F1,F1: The Movie,consumed,,2025,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-012,movie,Эддингтон,Eddington,consumed,,2025,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-013,movie,Быстрее пули,Bullet Train,consumed,,2022,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-014,movie,Убийца,The Killer,consumed,,2023,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-015,movie,Микки 17,Mickey 17,consumed,,2025,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-016,movie,Виды доброты,Kinds of Kindness,consumed,,2024,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-017,movie,Барби,Barbie,consumed,,2023,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-018,movie,Все страхи Бо,Beau Is Afraid,consumed,,2023,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
